time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-02T22:09:38.208Z,8.4519,126.9002,35,4.9,mww,168,65,1.897,0.71,us,us7000j1pj,2023-03-11T22:51:33.040Z,"60 km ENE of Barcelona, Philippines",earthquake,8.02,1.829,0.093,11,reviewed,us,us
2023-01-02T22:02:06.450Z,54.7628333333333,-163.700166666667,0.37,1.83,ml,7,131,,0.12,av,av91741901,2023-01-04T06:04:43.730Z,"21 km WSW of False Pass, Alaska",earthquake,0.35,0.44,0.266731511167146,7,reviewed,av,av
2023-01-02T22:01:06.100Z,19.1591666666667,-66.522,15.3,3.21,md,20,268,0.8376,0.22,pr,pr71390553,2023-01-02T22:33:16.990Z,"77 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.07,4.33,0.0702577546939005,14,reviewed,pr,pr
2023-01-02T21:58:36.354Z,62.1187,-145.2079,15.1,2.1,ml,,,,1.07,ak,ak0233nxb0g,2023-01-19T20:11:37.097Z,"13 km ENE of Tazlina, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2023-01-02T21:56:05.950Z,51.8513333333333,-177.988333333333,4.5,0.92,ml,5,106,,0.07,av,av91082723,2023-01-04T07:04:12.970Z,"93 km W of Adak, Alaska",earthquake,0.33,0.81,0.345228251830661,5,reviewed,av,av
2023-01-02T21:54:37.519Z,58.974,-152.2313,69.2,2.3,ml,,,,0.58,ak,ak0233nwg6q,2023-03-11T22:51:33.040Z,"46 km SSW of Nanwalek, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-02T21:52:49.275Z,-7.5835,127.5134,170.482,4,mb,13,77,3.772,0.52,us,us7000j44j,2023-03-11T22:51:47.040Z,"118 km NNE of Lospalos, Timor Leste",earthquake,8.33,4.378,0.196,7,reviewed,us,us
2023-01-02T21:50:17.919Z,61.4519,-151.4908,71.6,1.4,ml,,,,0.42,ak,ak0233nvjvj,2023-01-19T20:11:39.987Z,"40 km NNW of Beluga, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-01-02T21:41:33.235Z,62.2786,-154.1616,10.6,2.2,ml,,,,0.78,ak,ak0233ntodi,2023-01-19T20:11:36.583Z,"82 km S of Nikolai, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-01-02T21:39:24.623Z,5.3792,97.0686,18.646,4.4,mb,33,58,0.192,0.64,us,us7000j44m,2023-03-11T22:51:48.040Z,"northern Sumatra, Indonesia",earthquake,7.5,5.11,0.134,16,reviewed,us,us
2023-01-02T21:37:26.317Z,40.5483,-29.3131,10,4.9,mb,135,47,4.05,0.37,us,us7000j1p9,2023-03-11T22:51:33.040Z,"196 km NE of Santa Cruz das Flores, Portugal",earthquake,9.35,1.84,0.052,116,reviewed,us,us
2023-01-02T21:36:09.310Z,58.255,-155.0865,3.93,-0.11,ml,10,100,,0.09,av,av91741876,2023-01-04T06:34:36.970Z,"85 km NNW of Karluk, Alaska",earthquake,0.24,0.49,0.197325597707317,10,reviewed,av,av
2023-01-02T21:32:50.529Z,-2.5003,140.9669,10.5,4.2,mb,15,145,0.263,1.18,us,us7000j44l,2023-03-11T22:51:47.040Z,"27 km E of Jayapura, Indonesia",earthquake,7.97,5.7,0.187,8,reviewed,us,us
2023-01-02T21:22:46.292Z,56.8637,-158.1259,3.3,1.6,ml,,,,0.58,ak,ak0233nplup,2023-01-23T20:14:06.406Z,"31 km ESE of Port Heiden, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-02T21:22:10.610Z,17.8868333333333,-66.851,15.32,2.17,md,9,241,0.09177,0.14,pr,pr71390548,2023-01-02T21:38:55.880Z,"10 km SSE of Maria Antonia, Puerto Rico",earthquake,0.69,0.69,0.0654495269100379,7,reviewed,pr,pr
2023-01-02T21:18:27.137Z,-17.8422,-178.4887,571.691,4.3,mb,26,101,3.297,0.68,us,us7000j44f,2023-03-11T22:51:47.040Z,"Fiji region",earthquake,16.8,7.773,0.133,16,reviewed,us,us
2023-01-02T21:17:26.630Z,38.8273315,-122.8536682,2.39,1.07,md,18,61,0.002512,0.02,nc,nc73828086,2023-01-02T21:35:12.690Z,"10km WNW of The Geysers, CA",earthquake,0.24,0.5,0.14,18,automatic,nc,nc
2023-01-02T21:06:56.652Z,31.68023631,-104.4032979,7.159887695,2.2,ml,38,45,0.01926674081,0.2,tx,tx2023adlh,2023-01-17T20:20:15.847Z,"54 km S of Whites City, New Mexico",earthquake,0.6559007562,0.709124466,0,6,reviewed,tx,tx
2023-01-02T21:05:36.655Z,3.5828,127.107,41.675,4.5,mb,37,116,2.804,0.44,us,us7000j44e,2023-03-11T22:51:47.040Z,"228 km NNW of Tobelo, Indonesia",earthquake,8.83,5.81,0.102,28,reviewed,us,us
2023-01-02T21:01:25.810Z,52.0731666666667,-176.025666666667,5.25,1.03,ml,5,191,,0.24,av,av91741871,2023-01-04T06:53:36.900Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,0.82,1.07,0.220808454709329,5,reviewed,av,av
